contigA	startA	endA	contigB	startB	endB	strand	mapq
I	13738	17791	I	0	4053	+	60
I	17797	33438	I	4053	19694	+	60
I	33439	34290	I	19694	20545	+	60
I	34297	43413	I	20545	29661	+	60
I	45030	58704	I	29661	43335	+	60
I	58705	112714	I	43335	97344	+	60
I	112714	116735	I	97850	101871	+	60
I	116736	221313	I	101871	206448	+	60
I	221314	454950	I	206448	440084	+	60
I	454951	468236	I	440084	453369	+	60
I	468237	485246	I	453369	470378	+	60
I	485246	485257	I	470379	470390	+	60
I	485257	488293	I	470391	473427	+	60
I	488294	497604	I	473427	482737	+	60
I	497605	569395	I	482737	554527	+	60
I	569396	577614	I	554527	562745	+	60
I	577615	664969	I	562745	650099	+	60
I	664971	684904	I	650099	670032	+	60
I	684905	697866	I	670032	682993	+	60
I	697866	877834	I	682994	862962	+	60
I	877835	917947	I	862962	903074	+	60
I	917948	949782	I	903074	934908	+	60
I	949784	961190	I	934908	946314	+	60
I	961192	974903	I	946314	960025	+	60
I	974904	980317	I	960025	965438	+	60
I	980318	1042515	I	965438	1027635	+	60
I	1042516	1063516	I	1027635	1048635	+	60
I	1063517	1094465	I	1048635	1079583	+	60
I	1094473	1162994	I	1079583	1148104	+	60
I	1162995	1289694	I	1148104	1274803	+	60
I	1289695	1373686	I	1274803	1358794	+	60
I	1373687	1439601	I	1358794	1424708	+	60
I	1439601	1511209	I	1424709	1496317	+	60
I	1511209	1524168	I	1496318	1509277	+	60
I	1524169	1609948	I	1509277	1595056	+	60
I	1609949	1639985	I	1595056	1625092	+	60
I	1639986	1780200	I	1625092	1765306	+	60
I	1780201	1951189	I	1765306	1936294	+	60
I	1951190	1967209	I	1936294	1952313	+	60
I	1967210	1970651	I	1952313	1955754	+	60
I	1970653	1970752	I	1955754	1955853	+	60
I	1970753	2039900	I	1955853	2025000	+	60
I	2039901	2154757	I	2025000	2139856	+	60
I	2154758	2169393	I	2139856	2154491	+	60
I	2169394	2242839	I	2154491	2227936	+	60
I	2242842	2303146	I	2227936	2288240	+	60
I	2303146	2358608	I	2288241	2343703	+	60
I	2358609	2436482	I	2343703	2421576	+	60
I	2436482	2514054	I	2421577	2499149	+	60
I	2514054	2522366	I	2499150	2507462	+	60
I	2522367	2524965	I	2507462	2510060	+	60
I	2524966	2602927	I	2510060	2588021	+	60
I	2602928	2602973	I	2588021	2588066	+	60
I	2602974	2609171	I	2588066	2594263	+	60
I	2609172	2609233	I	2594263	2594324	+	60
I	2609234	2609261	I	2594324	2594351	+	60
I	2609262	2609302	I	2594351	2594391	+	60
I	2609303	2620772	I	2594391	2605860	+	60
I	2620772	2622580	I	2605861	2607669	+	60
I	2622581	2656910	I	2607669	2641998	+	60
I	2656911	2698815	I	2641998	2683902	+	60
I	2698815	2766148	I	2683903	2751236	+	60
I	2766148	2774782	I	2751237	2759871	+	60
I	2774783	3140030	I	2759871	3125118	+	60
I	3140031	3181689	I	3125118	3166776	+	60
I	3181692	3193410	I	3166776	3178494	+	60
I	3193411	3212445	I	3178494	3197528	+	60
I	3212446	3315729	I	3197528	3300811	+	60
I	3315733	3465052	I	3300811	3450130	+	60
I	3465052	3475239	I	3450131	3460318	+	60
I	3475240	3553335	I	3460318	3538413	+	60
I	3553336	3553351	I	3538413	3538428	+	60
I	3553352	3553360	I	3538428	3538436	+	60
I	3553361	3553374	I	3538436	3538449	+	60
I	3553376	3553383	I	3538449	3538456	+	60
I	3553385	3563461	I	3538456	3548532	+	60
I	3563462	3591686	I	3548532	3576756	+	60
I	3591693	3591866	I	3576756	3576929	+	60
I	3591867	3594972	I	3576929	3580034	+	60
I	3594973	3680549	I	3580034	3665610	+	60
I	3680550	3715325	I	3665610	3700385	+	60
I	3715327	3745311	I	3700385	3730369	+	60
I	3745312	3780271	I	3730369	3765328	+	60
I	3780272	3791877	I	3765328	3776933	+	60
I	3791878	3797974	I	3776933	3783029	+	60
I	3797974	3870734	I	3783030	3855790	+	60
I	3870734	3954968	I	3855791	3940025	+	60
I	3954969	3999222	I	3940025	3984278	+	60
I	3999732	4025691	I	3984278	4010237	+	60
I	4025692	4070507	I	4010237	4055052	+	60
I	4070508	4195157	I	4055052	4179701	+	60
I	4195158	4292347	I	4179701	4276890	+	60
I	4292348	4319627	I	4276890	4304169	+	60
I	4319628	4389801	I	4304169	4374342	+	60
I	4389801	4422952	I	4374343	4407494	+	60
I	4422953	4425650	I	4407494	4410191	+	60
I	4425650	4429659	I	4410192	4414201	+	60
I	4429659	4430180	I	4414202	4414723	+	60
I	4430185	4447318	I	4414723	4431856	+	60
I	4447319	4447331	I	4431856	4431868	+	60
I	4447332	4470613	I	4431868	4455149	+	60
I	4470614	4663624	I	4455149	4648159	+	60
I	4663624	4737339	I	4648160	4721875	+	60
I	4737340	4779718	I	4721875	4764253	+	60
I	4779719	4926897	I	4764253	4911431	+	60
I	4926898	4941513	I	4911431	4926046	+	60
I	4941514	5158095	I	4926046	5142627	+	60
I	5158096	5163883	I	5142627	5148414	+	60
I	5163883	5188555	I	5148415	5173087	+	60
I	5188556	5188899	I	5173087	5173430	+	60
I	5188900	5192396	I	5173430	5176926	+	60
I	5192397	5206215	I	5176926	5190744	+	60
I	5219916	5300604	I	5190744	5271432	+	60
I	5300608	5397438	I	5271432	5368262	+	60
I	5397438	5397448	I	5368263	5368273	+	60
I	5397449	5455798	I	5368273	5426622	+	60
I	5455799	5608310	I	5426622	5579133	+	60
I	5612065	5613725	II	4527715	4529375	+	60
I	5613743	5617956	II	4529375	4533588	+	60
I	5617956	5619247	II	4533589	4534880	+	60
I	5619247	5619889	II	4534881	4535523	+	60
I	5619895	5619920	II	4535523	4535548	+	60
I	5619920	5620011	II	4535554	4535645	+	60
I	5620011	5620454	II	4535646	4536089	+	60
I	5620470	5621109	II	4536089	4536728	+	60
I	5621118	5621777	II	4536728	4537387	+	60
I	5621777	5622047	II	4537395	4537665	+	60
I	5622052	5622432	II	4537665	4538045	+	60
I	5622548	5622697	II	4538157	4538306	+	60
I	5622697	5622710	II	4538317	4538330	+	60
I	5622724	5623032	II	4538330	4538638	+	60
I	5623032	5623250	II	4538652	4538870	+	60
II	30836	46666	II	0	15830	+	60
II	46667	111038	II	15830	80201	+	60
II	128819	176619	II	80201	128001	+	60
II	176619	194696	II	128002	146079	+	60
II	194696	533150	II	146080	484534	+	60
II	533151	651896	II	484534	603279	+	60
II	651896	651921	II	603280	603305	+	60
II	651921	719288	II	603306	670673	+	60
II	719393	740818	II	670673	692098	+	60
II	740818	748117	II	692710	700009	+	60
II	748117	936706	II	700010	888599	+	60
II	936706	951212	II	888600	903106	+	60
II	951213	1045778	II	903106	997671	+	60
II	1045793	1067632	II	997671	1019510	+	60
II	1067632	1127964	II	1019511	1079843	+	60
II	1127965	1211276	II	1079843	1163154	+	60
II	1211276	1314410	II	1163155	1266289	+	60
II	1314411	1325603	II	1266289	1277481	+	60
II	1325605	1356742	II	1277481	1308618	+	60
II	1356742	1437262	II	1308619	1389139	+	60
II	1437263	1604043	II	1389139	1555919	+	60
