contigA	startA	endA	contigB	startB	endB	strand	mapq
I	11357	15410	I	0	4053	+	60
I	15416	31057	I	4053	19694	+	60
I	31058	31909	I	19694	20545	+	60
I	31915	38772	I	20545	27402	+	60
I	38775	41034	I	27402	29661	+	60
I	42651	56325	I	29661	43335	+	60
I	56326	110335	I	43335	97344	+	60
I	110335	114356	I	97850	101871	+	60
I	114357	218959	I	101871	206473	+	60
I	218965	439996	I	206473	427504	+	60
I	439997	452577	I	427504	440084	+	60
I	452578	465863	I	440084	453369	+	60
I	465865	482874	I	453369	470378	+	60
I	482874	482885	I	470379	470390	+	60
I	482885	485921	I	470391	473427	+	60
I	485922	495232	I	473427	482737	+	60
I	495233	538666	I	482737	526170	+	60
I	538667	567024	I	526170	554527	+	60
I	567025	575243	I	554527	562745	+	60
I	575244	662598	I	562745	650099	+	60
I	662600	672557	I	650099	660056	+	60
I	672557	682532	I	660057	670032	+	60
I	682533	695494	I	670032	682993	+	60
I	695494	775175	I	682994	762675	+	60
I	775175	875447	I	762690	862962	+	60
I	875448	947394	I	862962	934908	+	60
I	947396	972513	I	934908	960025	+	60
I	972514	977927	I	960025	965438	+	60
I	977929	1040126	I	965438	1027635	+	60
I	1040128	1061128	I	1027635	1048635	+	60
I	1061129	1092077	I	1048635	1079583	+	60
I	1092085	1160606	I	1079583	1148104	+	60
I	1160607	1287306	I	1148104	1274803	+	60
I	1287307	1371298	I	1274803	1358794	+	60
I	1371299	1437213	I	1358794	1424708	+	60
I	1437213	1478217	I	1424709	1465713	+	60
I	1478217	1508820	I	1465714	1496317	+	60
I	1508820	1519777	I	1496318	1507275	+	60
I	1519779	1521781	I	1507275	1509277	+	60
I	1521783	1553978	I	1509277	1541472	+	60
I	1553979	1607563	I	1541472	1595056	+	60
I	1607565	1637601	I	1595056	1625092	+	60
I	1637602	1777816	I	1625092	1765306	+	60
I	1777818	1948806	I	1765306	1936294	+	60
I	1948807	1964826	I	1936294	1952313	+	60
I	1964827	1968268	I	1952313	1955754	+	60
I	1968270	1968369	I	1955754	1955853	+	60
I	1968370	2037517	I	1955853	2025000	+	60
I	2037518	2152374	I	2025000	2139856	+	60
I	2152375	2167010	I	2139856	2154491	+	60
I	2167011	2240456	I	2154491	2227936	+	60
I	2240459	2258002	I	2227936	2245479	+	60
I	2258003	2285725	I	2245479	2273201	+	60
I	2285725	2300762	I	2273203	2288240	+	60
I	2300762	2356224	I	2288241	2343703	+	60
I	2356225	2434098	I	2343703	2421576	+	60
I	2434098	2511670	I	2421577	2499149	+	60
I	2511670	2519982	I	2499150	2507462	+	60
I	2519983	2522581	I	2507462	2510060	+	60
I	2522582	2600543	I	2510060	2588021	+	60
I	2600544	2600589	I	2588021	2588066	+	60
I	2600590	2606787	I	2588066	2594263	+	60
I	2606788	2606849	I	2594263	2594324	+	60
I	2606850	2606877	I	2594324	2594351	+	60
I	2606878	2606918	I	2594351	2594391	+	60
I	2606919	2618388	I	2594391	2605860	+	60
I	2618388	2620196	I	2605861	2607669	+	60
I	2620197	2654526	I	2607669	2641998	+	60
I	2654527	2696431	I	2641998	2683902	+	60
I	2696431	2759555	I	2683903	2747027	+	60
I	2759556	2763765	I	2747027	2751236	+	60
I	2763765	2772399	I	2751237	2759871	+	60
I	2772400	2962503	I	2759871	2949974	+	60
I	2962503	2971464	I	2949976	2958937	+	60
I	2971464	2972277	I	2958939	2959752	+	60
I	2972278	3044590	I	2959752	3032064	+	60
I	3044599	3137653	I	3032064	3125118	+	60
I	3137654	3157235	I	3125118	3144699	+	60
I	3157236	3179313	I	3144699	3166776	+	60
I	3179316	3191034	I	3166776	3178494	+	60
I	3191035	3210069	I	3178494	3197528	+	60
I	3210070	3313353	I	3197528	3300811	+	60
I	3313353	3315929	I	3300818	3303394	+	60
I	3315931	3462667	I	3303394	3450130	+	60
I	3462667	3472854	I	3450131	3460318	+	60
I	3472855	3550950	I	3460318	3538413	+	60
I	3550951	3550966	I	3538413	3538428	+	60
I	3550967	3550975	I	3538428	3538436	+	60
I	3550976	3550989	I	3538436	3538449	+	60
I	3550991	3550998	I	3538449	3538456	+	60
I	3551000	3561076	I	3538456	3548532	+	60
I	3561078	3589302	I	3548532	3576756	+	60
I	3589309	3589482	I	3576756	3576929	+	60
I	3589483	3592588	I	3576929	3580034	+	60
I	3592589	3678165	I	3580034	3665610	+	60
I	3678166	3712941	I	3665610	3700385	+	60
I	3712944	3742928	I	3700385	3730369	+	60
I	3742929	3777888	I	3730369	3765328	+	60
I	3777889	3789494	I	3765328	3776933	+	60
I	3789495	3795591	I	3776933	3783029	+	60
I	3795591	3868351	I	3783030	3855790	+	60
I	3868351	3952585	I	3855791	3940025	+	60
I	3952586	3996839	I	3940025	3984278	+	60
I	3997349	4068123	I	3984278	4055052	+	60
I	4068124	4192773	I	4055052	4179701	+	60
I	4192774	4289963	I	4179701	4276890	+	60
I	4289964	4317243	I	4276890	4304169	+	60
I	4317244	4387417	I	4304169	4374342	+	60
I	4387417	4420568	I	4374343	4407494	+	60
I	4420569	4423266	I	4407494	4410191	+	60
I	4423266	4427275	I	4410192	4414201	+	60
I	4427275	4427796	I	4414202	4414723	+	60
I	4427801	4444934	I	4414723	4431856	+	60
I	4444935	4444947	I	4431856	4431868	+	60
I	4444948	4468229	I	4431868	4455149	+	60
I	4468230	4537665	I	4455149	4524584	+	60
I	4537666	4614694	I	4527621	4604649	+	60
I	4614695	4731921	I	4604649	4721875	+	60
I	4731922	4774300	I	4721875	4764253	+	60
I	4774301	4921479	I	4764253	4911431	+	60
I	4921481	4936096	I	4911431	4926046	+	60
I	4936097	5065081	I	4926046	5055030	+	60
I	5065081	5106492	I	5055031	5096442	+	60
I	5106493	5152678	I	5096442	5142627	+	60
I	5152679	5158466	I	5142627	5148414	+	60
I	5158466	5183138	I	5148415	5173087	+	60
I	5183139	5183482	I	5173087	5173430	+	60
I	5183483	5186979	I	5173430	5176926	+	60
I	5186980	5200798	I	5176926	5190744	+	60
I	5205365	5286053	I	5190744	5271432	+	60
I	5286057	5382887	I	5271432	5368262	+	60
I	5382887	5382897	I	5368263	5368273	+	60
I	5382898	5441247	I	5368273	5426622	+	60
I	5441248	5573905	I	5426622	5559279	+	60
I	5573906	5593760	I	5559279	5579133	+	60
II	29767	45597	II	0	15830	+	60
II	45598	109969	II	15830	80201	+	60
II	127750	175550	II	80201	128001	+	60
II	175550	193627	II	128002	146079	+	60
II	193627	202150	II	146080	154603	+	60
II	208537	454834	II	154603	400900	+	60
II	454835	538469	II	400900	484534	+	60
II	538470	574563	II	484534	520627	+	60
II	574564	580820	II	520627	526883	+	60
II	580852	656494	II	526883	602525	+	60
II	656494	657247	II	602526	603279	+	60
II	657247	657272	II	603280	603305	+	60
II	657272	724639	II	603306	670673	+	60
II	724744	746169	II	670673	692098	+	60
II	746169	746559	II	692710	693100	+	60
II	746559	746889	II	693244	693574	+	60
II	746889	747498	II	693646	694255	+	60
II	747498	747922	II	694327	694751	+	60
II	747922	752496	II	695435	700009	+	60
II	752496	941085	II	700010	888599	+	60
II	941085	955591	II	888600	903106	+	60
II	955592	1050157	II	903106	997671	+	60
II	1050157	1071960	II	997707	1019510	+	60
II	1071960	1097815	II	1019511	1045366	+	60
II	1098499	1132976	II	1045366	1079843	+	60
II	1132977	1158075	II	1079843	1104941	+	60
II	1158077	1216290	II	1104941	1163154	+	60
II	1216290	1319424	II	1163155	1266289	+	60
