chrom	start_CDS	end_CDS	length_CDS	pos_exons	strand	feature	gene_id	gene_name	transcript_id	product
I	11260	17025	5766	11260-17025	-	CDS	SPAC212.11	tlh1	SPAC212.11.1	RecQ type DNA helicase
I	17062	17694	633	17062-17694	-	pseudogenic_transcript	SPAC212.10	None	SPAC212.10.1	pseudogene malic acid transport protein
I	18942	20637	1696	18942-20637	+	pseudogenic_transcript	SPAC212.09c	None	SPAC212.09c.1	pseudogene, malic enzyme with 2 frameshifts
I	23521	24357	837	23521-24357	+	CDS	SPAC212.08c	None	SPAC212.08c.1	S. pombe specific GPI anchored protein family 1
I	25028	25918	891	25028-25918	+	pseudogenic_transcript	SPAC212.07c	None	SPAC212.07c.1	pseudogene
I	27218	27589	372	27218-27589	+	CDS	SPAC212.12	None	SPAC212.12.1	S. pombe specific GPI anchored protein family 1
I	29435	29920	486	29435-29920	+	CDS	SPAC212.06c	None	SPAC212.06c.1	DNA helicase in rearranged telomeric region,truncated
I	32194	32385	192	32194-32385	+	pseudogenic_transcript	SPAC212.05c	None	SPAC212.05c.1	pseudogene, possibly truncated by rearrangement and LTR
I	32957	33878	867	32957-33446,33502-33878	+	CDS	SPAC212.04c	wdk1	SPAC212.04c.1	S. pombe specific DUF999 family protein 1
I	34959	35348	390	34959-35348	-	CDS	SPAC212.03	None	SPAC212.03.1	Schizosaccharomyces pombe specific protein, F-box
I	38488	39314	827	38488-39314	-	pseudogenic_transcript	SPAC212.02	None	SPAC212.02.1	Schizosaccharomyces pombe specific protein
I	40111	41011	843	40111-40600,40659-41011	+	CDS	SPAC212.01c	wdk2	SPAC212.01c.1	S. pombe specific DUF999 family protein 2
I	42354	43706	1353	42354-43706	+	pseudogenic_transcript	SPAC977.01	ftm1	SPAC977.01.1	sub-telomeric 5Tm protein family Ftm1,partial,adjacent to genomic sequence gap
I	44317	45226	451	44317-44547,44758-44903,45153-45226	-	pseudogenic_transcript	SPAC977.18	None	SPAC977.18.1	conserved fungal protein, UPF0768 family
I	45220	45660	441	45220-45660	+	CDS	SPAC977.02	ftm2	SPAC977.02.1	sub-telomeric 5Tm protein family Ftm2
I	46825	47262	438	46825-47262	+	CDS	SPAC977.03	None	SPAC977.03.1	methyltransferase
I	47339	47806	468	47339-47806	+	pseudogenic_transcript	SPAC977.04	None	SPAC977.04.1	truncated C terminal region of membrane transporter
I	48758	49372	615	48758-49372	-	CDS	SPAC977.05c	None	SPAC977.05c.1	Velum formation protein 1-like conserved fungal family
I	52359	53161	753	52359-52838,52889-53161	+	pseudogenic_transcript	SPAC977.06	wdk3	SPAC977.06.1	S. pombe specific DUF999 family protein 3
I	55047	56297	1251	55047-56297	-	CDS	SPAC977.07c	pfl6	SPAC977.07c.1	cell surface glycoprotein, flocculin Pfl6
I	57695	58405	711	57695-58405	+	CDS	SPAC977.08	ayr2	SPAC977.08.1	1-acyl DHAP reductase Ayr2
I	59066	61151	2022	59066-59134,59199-61151	-	CDS	SPAC977.09c	plb4	SPAC977.09c.1	phospholipase Plb4
I	65108	66591	1407	65108-65231,65309-66591	+	CDS	SPAC977.10	nhe1	SPAC977.10.1	plasma membrane/prospore membrane sodium ion/proton antiporter Nhe1/Sod2
I	68265	69200	936	68265-69200	+	CDS	SPAC977.11	fex1	SPAC977.11.1	plasma membrane fluoride export channel Fex1
I	69483	70553	1071	69483-70553	+	CDS	SPAC977.12	None	SPAC977.12.1	L-asparaginase
I	71268	72096	829	71268-72096	-	pseudogenic_transcript	SPAC977.13c	None	SPAC977.13c.1	hydrolase, pseudogene (4 frameshifts)
I	72706	73761	1056	72706-73761	-	CDS	SPAC977.14c	None	SPAC977.14c.1	NADP-dependent aldo/keto reductase, unknown biological role, implicated in cellular detoxification
I	75980	76723	744	75980-76723	+	CDS	SPAC977.15	None	SPAC977.15.1	dienelactone hydrolase family, implicated in cellular detoxification
I	77895	79670	1776	77895-79670	-	CDS	SPAC977.16c	dak2	SPAC977.16c.1	dihydroxyacetone kinase Dak2
I	80134	81930	1797	80134-81930	+	CDS	SPAC977.17	None	SPAC977.17.1	plasma membrane aquaporin family transmembrane transporter
I	88689	88901	213	88689-88901	-	CDS	SPAPJ695.02	None	SPAPJ695.02.1	Schizosaccharomyces pombe specific protein
I	90569	90922	354	90569-90922	-	CDS	SPAPJ695.01c	None	SPAPJ695.01c.1	S. pombe specific UPF0321 family protein 3
I	95927	97594	1668	95927-97594	+	CDS	SPAC1F8.01	ght3	SPAC1F8.01.1	plasma membrane gluconate:proton symporter Ght3
I	98589	99269	681	98589-99269	-	CDS	SPAC1F8.02c	shu1	SPAC1F8.02c.1	cell-surface heme acquisition protein Shu1
I	101358	103250	1893	101358-103250	-	CDS	SPAC1F8.03c	str3	SPAC1F8.03c.1	plasma membrane heme transmembrane transporter Str3
I	105471	106862	1392	105471-106862	-	CDS	SPAC1F8.04c	hhy1	SPAC1F8.04c.1	hydrolase Hhy1
I	108991	109539	549	108991-109539	+	CDS	SPAC1F8.05	isp3	SPAC1F8.05.1	spore wall structural constituent Isp3
I	112496	113653	1158	112496-113653	+	CDS	SPAC1F8.06	pfl8	SPAC1F8.06.1	cell surface glycoprotein, flocculin Pfl8
I	114321	116030	1710	114321-116030	-	CDS	SPAC1F8.07c	pdc101	SPAC1F8.07c.1	pyruvate decarboxylase
I	116427	116789	363	116427-116789	+	CDS	SPAC1F8.08	None	SPAC1F8.08.1	Schizosaccharomyces pombe specific protein
I	119451	119684	234	119451-119684	+	CDS	SPAC11D3.19	None	SPAC11D3.19.1	Schizosaccharomyces pombe specific microprotein, GPI anchored
I	121394	121633	240	121394-121633	-	CDS	SPAC11D3.01c	None	SPAC11D3.01c.1	Con-6 family conserved fungal protein
I	122315	122767	453	122315-122767	-	CDS	SPAC11D3.02c	None	SPAC11D3.02c.1	ELLA family acetyltransferase
I	123491	124399	909	123491-124399	-	CDS	SPAC11D3.03c	None	SPAC11D3.03c.1	aminomethyltransferase-like and DUF1989 family protein, implicated in urea metabolism
I	125403	125795	393	125403-125795	-	CDS	SPAC11D3.04c	None	SPAC11D3.04c.1	polyketide cyclase SnoaL-like domain protein
I	126566	128206	1641	126566-128206	+	CDS	SPAC11D3.05	mfs2	SPAC11D3.05.1	transmembrane transporter Mfs2
I	129179	130546	1368	129179-130546	+	CDS	SPAC11D3.06	None	SPAC11D3.06.1	MatE family transmembrane transporter
