contigA	startA	endA	contigB	startB	endB	strand	mapq
I	0	4053	I	11357	15410	+	60
I	4053	19694	I	15416	31057	+	60
I	19694	20545	I	31058	31909	+	60
I	20545	27402	I	31915	38772	+	60
I	27402	29661	I	38775	41034	+	60
I	29661	43335	I	42651	56325	+	60
I	43335	97344	I	56326	110335	+	60
I	97850	101871	I	110335	114356	+	60
I	101871	206473	I	114357	218959	+	60
I	206473	427504	I	218965	439996	+	60
I	427504	440084	I	439997	452577	+	60
I	440084	453369	I	452578	465863	+	60
I	453369	470378	I	465865	482874	+	60
I	470379	470390	I	482874	482885	+	60
I	470391	473427	I	482885	485921	+	60
I	473427	482737	I	485922	495232	+	60
I	482737	526170	I	495233	538666	+	60
I	526170	554527	I	538667	567024	+	60
I	554527	562745	I	567025	575243	+	60
I	562745	650099	I	575244	662598	+	60
I	650099	660056	I	662600	672557	+	60
I	660057	670032	I	672557	682532	+	60
I	670032	682993	I	682533	695494	+	60
I	682994	762675	I	695494	775175	+	60
I	762690	862962	I	775175	875447	+	60
I	862962	934908	I	875448	947394	+	60
I	934908	960025	I	947396	972513	+	60
I	960025	965438	I	972514	977927	+	60
I	965438	1027635	I	977929	1040126	+	60
I	1027635	1048635	I	1040128	1061128	+	60
I	1048635	1079583	I	1061129	1092077	+	60
I	1079583	1148104	I	1092085	1160606	+	60
I	1148104	1274803	I	1160607	1287306	+	60
I	1274803	1358794	I	1287307	1371298	+	60
I	1358794	1424708	I	1371299	1437213	+	60
I	1424709	1465713	I	1437213	1478217	+	60
I	1465714	1496317	I	1478217	1508820	+	60
I	1496318	1507275	I	1508820	1519777	+	60
I	1507275	1509277	I	1519779	1521781	+	60
I	1509277	1541472	I	1521783	1553978	+	60
I	1541472	1595056	I	1553979	1607563	+	60
I	1595056	1625092	I	1607565	1637601	+	60
I	1625092	1765306	I	1637602	1777816	+	60
I	1765306	1936294	I	1777818	1948806	+	60
I	1936294	1952313	I	1948807	1964826	+	60
I	1952313	1955754	I	1964827	1968268	+	60
I	1955754	1955853	I	1968270	1968369	+	60
I	1955853	2025000	I	1968370	2037517	+	60
I	2025000	2139856	I	2037518	2152374	+	60
I	2139856	2154491	I	2152375	2167010	+	60
I	2154491	2227936	I	2167011	2240456	+	60
I	2227936	2245479	I	2240459	2258002	+	60
I	2245479	2273201	I	2258003	2285725	+	60
I	2273203	2288240	I	2285725	2300762	+	60
I	2288241	2343703	I	2300762	2356224	+	60
I	2343703	2421576	I	2356225	2434098	+	60
I	2421577	2499149	I	2434098	2511670	+	60
I	2499150	2507462	I	2511670	2519982	+	60
I	2507462	2510060	I	2519983	2522581	+	60
I	2510060	2588021	I	2522582	2600543	+	60
I	2588021	2588066	I	2600544	2600589	+	60
I	2588066	2594263	I	2600590	2606787	+	60
I	2594263	2594324	I	2606788	2606849	+	60
I	2594324	2594351	I	2606850	2606877	+	60
I	2594351	2594391	I	2606878	2606918	+	60
I	2594391	2605860	I	2606919	2618388	+	60
I	2605861	2607669	I	2618388	2620196	+	60
I	2607669	2641998	I	2620197	2654526	+	60
I	2641998	2683902	I	2654527	2696431	+	60
I	2683903	2747027	I	2696431	2759555	+	60
I	2747027	2751236	I	2759556	2763765	+	60
I	2751237	2759871	I	2763765	2772399	+	60
I	2759871	2929281	I	2772400	2941810	+	60
I	2929281	2949974	I	2952239	2972932	+	60
I	2949976	2958937	I	2972932	2981893	+	60
I	2958939	2959752	I	2981893	2982706	+	60
I	2959752	3032064	I	2982707	3055019	+	60
I	3032064	3125118	I	3055028	3148082	+	60
I	3125118	3144699	I	3148083	3167664	+	60
I	3144699	3166776	I	3167665	3189742	+	60
I	3166776	3178494	I	3189745	3201463	+	60
I	3178494	3197528	I	3201464	3220498	+	60
I	3197528	3300811	I	3220499	3323782	+	60
I	3300818	3303394	I	3323782	3326358	+	60
I	3303394	3396085	I	3326360	3419051	+	60
I	3396085	3450130	I	3419087	3473132	+	60
I	3450131	3460318	I	3473132	3483319	+	60
I	3460318	3538413	I	3483320	3561415	+	60
I	3538413	3538428	I	3561416	3561431	+	60
I	3538428	3538436	I	3561432	3561440	+	60
I	3538436	3538449	I	3561441	3561454	+	60
I	3538449	3538456	I	3561456	3561463	+	60
I	3538456	3548532	I	3561465	3571541	+	60
I	3548532	3576756	I	3571543	3599767	+	60
I	3576756	3576929	I	3599774	3599947	+	60
I	3576929	3580034	I	3599948	3603053	+	60
I	3580034	3665610	I	3603054	3688630	+	60
I	3665610	3700385	I	3688631	3723406	+	60
I	3700385	3730369	I	3723409	3753393	+	60
I	3730369	3765328	I	3753394	3788353	+	60
I	3765328	3776933	I	3788354	3799959	+	60
